event_id,machine_id,event_type,description,technician_id,start_time,end_time,duration_hours,root_cause,parts_replaced,cost
ME-00182,M040,emergency,Vibration misalignment detected on M040,E036,2023-11-18T20:17:10,2023-11-18T21:18:22,1.02,Electrical fault,Bearing assembly,9681.15
ME-00183,M045,preventive,Sensor drift detected on M045,E033,2024-09-06T00:18:42,2024-09-06T01:35:30,1.28,Scheduled PM,Sensor replacement,11552.08
ME-00184,M008,corrective,Operator error detected on M008,E040,2023-09-23T09:26:28,2023-09-23T14:29:28,5.05,Bearing wear,Seal kit,2799.31
ME-00185,M022,corrective,Software fault detected on M022,E003,2024-12-17T14:32:27,2024-12-17T22:46:15,8.23,Overheating,Belt replacement,2499.72
ME-00186,M030,emergency,Software fault detected on M030,E027,2024-02-22T07:48:01,2024-02-22T18:36:01,10.8,Bearing wear,Seal kit,7911.88
ME-00187,M037,corrective,Bearing wear detected on M037,E014,2023-09-03T07:23:57,2023-09-03T14:16:45,6.88,Operator error,Motor brushes,5109.45
ME-00188,M023,preventive,Bearing wear detected on M023,E022,2023-04-27T05:14:42,2023-04-27T08:58:30,3.73,Seal leak,Motor brushes,8107.24
ME-00189,M011,corrective,Lubrication failure detected on M011,E049,2023-10-30T20:02:30,2023-10-30T22:41:30,2.65,Sensor drift,Motor brushes,12895.73
ME-00190,M046,preventive,Electrical fault detected on M046,E024,2023-11-18T17:05:16,2023-11-18T18:35:16,1.5,Software fault,Seal kit,14270.76
ME-00191,M014,corrective,Bearing wear detected on M014,E050,2023-05-17T04:28:26,2023-05-17T06:15:50,1.79,Electrical fault,Bearing assembly,6767.86
ME-00192,M002,corrective,Electrical fault detected on M002,E022,2024-12-04T03:35:55,2024-12-04T09:50:55,6.25,Software fault,Motor brushes,13133.41
ME-00193,M020,corrective,Lubrication failure detected on M020,E034,2023-04-22T13:12:47,2023-04-22T22:33:47,9.35,Overheating,Lubricant replenishment,10923.65
ME-00194,M030,preventive,Bearing wear detected on M030,E020,2024-11-02T23:13:50,2024-11-03T05:44:26,6.51,Bearing wear,Motor brushes,12752.24
ME-00195,M006,preventive,Scheduled PM detected on M006,E050,2024-11-21T21:37:34,2024-11-21T22:39:22,1.03,Sensor drift,Bearing assembly,8747.89
ME-00196,M020,corrective,Electrical fault detected on M020,E019,2023-06-13T05:48:25,2023-06-13T09:59:49,4.19,Sensor drift,Filter replacement,4923.42
ME-00197,M029,corrective,Sensor drift detected on M029,E008,2023-08-01T00:38:34,2023-08-01T02:51:46,2.22,Bearing wear,Filter replacement,8482.46
ME-00198,M007,preventive,Sensor drift detected on M007,E010,2023-09-30T08:24:12,2023-09-30T15:13:24,6.82,Sensor drift,Filter replacement,3823.41
ME-00199,M005,preventive,Software fault detected on M005,E004,2024-11-24T06:37:01,2024-11-24T11:01:01,4.4,Overheating,Bearing assembly,7166.89
ME-00200,M044,preventive,Seal leak detected on M044,E026,2023-10-26T04:48:56,2023-10-26T05:56:08,1.12,Overheating,Motor brushes,9022.6
